,Bolboschoenus planiculmis_Colleen,Bolboschoenus planiculmis_Garrett,Carex acutiformis_Carol,Carex arenaria_Sandra,Carex caryophyllea_Carol,Carex depauperata_Carol,Carex distans_Carol,Carex divulsa_Sandra,Carex echinata_Sandra,Carex elata_Carol,Carex extensa_Carol,Carex hirta_Carol,Carex laevigata_Carol,Carex littledalei_Carol,Carex littledalei_Marcus,Carex littledalei_Jerusha,Carex littledalei_Mateo,Carex myosuroides_Carol,Carex myosuroides_5'-GTTTAGG-3',Carex myosuroides_Mateo,Carex myosuroides_Marcus,Carex myosuroides_Kelly,Carex nigra_Carol,Carex pendula_Carol,Carex riparia_Carol,Carex rostrata_Carol,Carex spicata_Sandra,Carex sylvatica_Carol,Cyperus fuscus_Sayid,Eriophorum angustifolium_Sandra,Eriophorum angustifolium_Janet,Eriophorum vaginatum_Sandra,Eriophorum vaginatum_Janet,Eriophorum vaginatum_Glenn,Juncus effusus_Amelia,Juncus effusus_Simms,Juncus effusus_Cheyenne,Juncus inflexus_Amelia,Juncus inflexus_Simms,Juncus inflexus_Cheyenne,Juncus squarrosus_Myrtle,Luzula pallescens_Isaac,Luzula pallescens_Jerry,Luzula pallescens_Tony,Luzula sylvatica_Isaac,Luzula sylvatica_Jerry,Rhynchospora breviuscula_Tyba,Rhynchospora tenuis_Tyba,Schoenus nigricans_Justine,Schoenus nigricans_Sikowicz,Scirpus sylvaticus_Sandra,Scirpus sylvaticus_Glenn,Trichophorum cespitosum_Glenn,Trichophorum cespitosum_Harmonica,Trichophorum cespitosum_Parker,Trichophorum cespitosum_BoDerek,x Bolboschoenoplectus mariqueter_Colleen,x Bolboschoenoplectus mariqueter_Garrett
Carex extensa_Carol,0,0.004081633,0.804878049,0,0.644444444,0.804878049,0.804878049,0,0,0.873417722,1,0.804878049,0.922077922,0.243697479,0.007936508,0.005524862,0.007853403,0.243697479,0,0.007537688,0.007936508,0,0.804878049,0.804878049,0.644444444,0.804878049,0,0.804878049,0,0,0.007843137,0,0.007858546,0.005434783,0,0.004739336,0,0,0.004651163,0,0,0,0.004310345,0,0,0.004545455,0,0,0,0.01754386,0,0,0,0.011299435,0,0,0,0
Carex hirta_Carol,0,0.004081633,1,0.005988024,0.804878049,1,1,0.005952381,0.005847953,0.827160494,0.804878049,1,0.873417722,0.203252033,0,0.005524862,0.007853403,0.223140496,0,0.007537688,0,0,1,1,0.804878049,1,0.005952381,1,0,0,0.007843137,0,0.007858546,0.005434783,0,0.004739336,0.002364066,0,0.004651163,0.002358491,0,0,0.021929825,0,0,0.023148148,0,0,0,0.01754386,0,0,0,0.011299435,0,0,0,0
Carex laevigata_Carol,0,0.004081633,0.873417722,0,0.701149425,0.873417722,0.873417722,0,0,0.873417722,0.922077922,0.873417722,1,0.254237288,0.007936508,0.005524862,0.007853403,0.243697479,0,0.007537688,0.007936508,0,0.873417722,0.873417722,0.701149425,0.873417722,0,0.873417722,0,0,0.007843137,0,0.007858546,0.005434783,0,0.004739336,0,0,0.004651163,0,0,0,0.017467249,0,0,0.01843318,0,0,0,0.01754386,0,0,0,0.011299435,0,0,0,0
Carex littledalei_Carol,0,0,0.203252033,0,0.223140496,0.203252033,0.203252033,0,0,0.243697479,0.243697479,0.203252033,0.254237288,1,0.007936508,0.005524862,0,0.873417722,0,0,0.007936508,0.004132231,0.203252033,0.203252033,0.223140496,0.203252033,0,0.203252033,0.003174603,0,0.005870841,0,0.005882353,0,0,0.004739336,0,0,0.004651163,0,0,0,0.004310345,0,0,0.004545455,0,0,0,0.008695652,0,0,0,0,0,0,0,0
Carex littledalei_Marcus,0,0,0,0,0,0,0,0,0,0.007936508,0.007936508,0,0.007936508,0.007936508,1,0,0,0.007936508,0,0,0.927272727,0.004524887,0,0,0,0,0,0,0.003401361,0,0.00203252,0,0.00203666,0,0,0,0.0075,0,0,0.01,0,0,0,0,0,0,0.004608295,0,0,0.004761905,0,0,0,0,0,0,0,0
Carex littledalei_Jerusha,0.006944444,0,0.005524862,0,0.005524862,0.005524862,0.005524862,0,0,0.005524862,0.005524862,0.005524862,0.005524862,0.005524862,0,1,0.014527845,0.005524862,0,0.009280742,0,0.003623188,0.005524862,0.005524862,0.005524862,0.005524862,0,0.005524862,0,0,0.011070111,0,0.011090573,0,0,0.016528926,0.024608501,0,0.016260163,0.006578947,0,0.013452915,0.00754717,0,0.013513514,0.007905138,0.011111111,0.014925373,0.003484321,0.023076923,0,0.007142857,0,0.028985507,0.032967033,0,0.006944444,0
Carex littledalei_Mateo,0.005780347,0.016842105,0.007853403,0.002475248,0.007853403,0.007853403,0.007853403,0.002469136,0.00245098,0.007853403,0.007853403,0.007853403,0.007853403,0,0,0.014527845,1,0,0,0.343157895,0,0.002087683,0.007853403,0.007853403,0.007853403,0.007853403,0.002469136,0.007853403,0.009124088,0,0.002670227,0,0.002673797,0.004761905,0.011286682,0.020454545,0.020061728,0.011037528,0.022573363,0.018461538,0.006637168,0.004683841,0.028446389,0,0.009433962,0.038548753,0.012765957,0.014957265,0.006147541,0.008602151,0,0,0,0.007263923,0.002564103,0,0.005780347,0.012578616
Carex myosuroides_Carol,0,0,0.223140496,0.005988024,0.243697479,0.223140496,0.223140496,0.005952381,0.005847953,0.298245614,0.243697479,0.223140496,0.243697479,0.873417722,0.007936508,0.005524862,0,1,0,0,0.007936508,0.004132231,0.223140496,0.223140496,0.243697479,0.223140496,0.005952381,0.223140496,0.003174603,0,0.005870841,0,0.005882353,0,0,0.004739336,0.002364066,0,0.004651163,0.002358491,0,0,0,0,0,0,0,0,0,0.008695652,0,0,0,0,0,0,0,0
Carex myosuroides_5'-GTTTAGG-3',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex myosuroides_Mateo,0,0.028865979,0.007537688,0.002380952,0.007537688,0.007537688,0.007537688,0.002375297,0,0.007537688,0.007537688,0.007537688,0.007537688,0,0,0.009280742,0.343157895,0,0,1,0,0.008130081,0.007537688,0.007537688,0.007537688,0.007537688,0.002375297,0.007537688,0.016071429,0,0.00656168,0,0.006570302,0.013888889,0.013100437,0.019736842,0.013473054,0.012820513,0.015151515,0.016491754,0.00856531,0.013667426,0.040685225,0.009708738,0.018348624,0.046357616,0.01026694,0.022916667,0.003960396,0.002066116,0,0,0,0.011709602,0.009925558,0,0,0.024640657
Carex myosuroides_Marcus,0,0,0,0,0,0,0,0,0,0.007936508,0.007936508,0,0.007936508,0.007936508,0.927272727,0,0,0.007936508,0,0,1,0,0,0,0,0,0,0,0.003401361,0,0.00203252,0,0.00203666,0,0,0,0.0075,0,0,0.01,0,0,0,0,0,0,0.004608295,0,0,0.004761905,0,0,0,0,0,0,0,0
Carex myosuroides_Kelly,0.004878049,0.002941176,0,0,0,0,0,0,0,0,0,0,0,0.004132231,0.004524887,0.003623188,0.002087683,0.004132231,0,0.008130081,0,1,0,0,0,0,0,0,0,0,0.009950249,0,0.009966777,0.010830325,0.02,0.01320132,0.015655577,0.019354839,0.013029316,0.011673152,0.003205128,0.003496503,0.01863354,0.011764706,0.003508772,0.019354839,0.015197568,0.009090909,0,0.01552795,0,0.015075377,0.01,0.003663004,0.012195122,0,0.004878049,0.002941176
Carex nigra_Carol,0,0.004081633,1,0.005988024,0.804878049,1,1,0.005952381,0.005847953,0.827160494,0.804878049,1,0.873417722,0.203252033,0,0.005524862,0.007853403,0.223140496,0,0.007537688,0,0,1,1,0.804878049,1,0.005952381,1,0,0,0.007843137,0,0.007858546,0.005434783,0,0.004739336,0.002364066,0,0.004651163,0.002358491,0,0,0.021929825,0,0,0.023148148,0,0,0,0.01754386,0,0,0,0.011299435,0,0,0,0
Carex pendula_Carol,0,0.004081633,1,0.005988024,0.804878049,1,1,0.005952381,0.005847953,0.827160494,0.804878049,1,0.873417722,0.203252033,0,0.005524862,0.007853403,0.223140496,0,0.007537688,0,0,1,1,0.804878049,1,0.005952381,1,0,0,0.007843137,0,0.007858546,0.005434783,0,0.004739336,0.002364066,0,0.004651163,0.002358491,0,0,0.021929825,0,0,0.023148148,0,0,0,0.01754386,0,0,0,0.011299435,0,0,0,0
Carex riparia_Carol,0,0.004081633,0.804878049,0.005988024,1,0.804878049,0.804878049,0.005952381,0.005847953,0.662921348,0.644444444,0.804878049,0.701149425,0.223140496,0,0.005524862,0.007853403,0.243697479,0,0.007537688,0,0,0.804878049,0.804878049,1,0.804878049,0.005952381,0.804878049,0,0,0.007843137,0,0.007858546,0.005434783,0,0.004739336,0.002364066,0,0.004651163,0.002358491,0,0,0.021929825,0,0,0.023148148,0,0,0,0.01754386,0,0,0,0.011299435,0,0,0,0
Carex rostrata_Carol,0,0.004081633,1,0.005988024,0.804878049,1,1,0.005952381,0.005847953,0.827160494,0.804878049,1,0.873417722,0.203252033,0,0.005524862,0.007853403,0.223140496,0,0.007537688,0,0,1,1,0.804878049,1,0.005952381,1,0,0,0.007843137,0,0.007858546,0.005434783,0,0.004739336,0.002364066,0,0.004651163,0.002358491,0,0,0.021929825,0,0,0.023148148,0,0,0,0.01754386,0,0,0,0.011299435,0,0,0,0
Carex spicata_Sandra,0,0.00754717,0.005952381,0.89,0.005952381,0.005952381,0.005952381,1,0.738738739,0.005952381,0,0.005952381,0,0,0,0,0.002469136,0.005952381,0,0.002375297,0,0,0.005952381,0.005952381,0.005952381,0.005952381,1,0.005952381,0,0.112149533,0.003752345,0.134615385,0.003759398,0.004878049,0.013100437,0,0.004514673,0.012552301,0,0.004504505,0,0,0.011952191,0,0.004739336,0.012552301,0,0,0,0,0.112149533,0,0,0,0,0,0,0.003759398
Carex sylvatica_Carol,0,0.004081633,1,0.005988024,0.804878049,1,1,0.005952381,0.005847953,0.827160494,0.804878049,1,0.873417722,0.203252033,0,0.005524862,0.007853403,0.223140496,0,0.007537688,0,0,1,1,0.804878049,1,0.005952381,1,0,0,0.007843137,0,0.007858546,0.005434783,0,0.004739336,0.002364066,0,0.004651163,0.002358491,0,0,0.021929825,0,0,0.023148148,0,0,0,0.01754386,0,0,0,0.011299435,0,0,0,0
Cyperus fuscus_Sayid,0,0.00729927,0,0,0,0,0,0,0,0,0,0,0,0.003174603,0.003401361,0,0.009124088,0.003174603,0,0.016071429,0.003401361,0,0,0,0,0,0,0,1,0,0.001468429,0,0.001470588,0,0.007978723,0.005291005,0.001692047,0.007772021,0.002610966,0.005084746,0,0.005586592,0.005012531,0.009146341,0,0,0.0175,0.002469136,0.004761905,0,0,0,0,0,0,0.016901408,0,0
Eriophorum angustifolium_Sandra,0,0,0,0.113207547,0,0,0,0.112149533,0.109090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112149533,0,0,1,0,0.516129032,0,0,0,0.00621118,0,0,0.006060606,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Eriophorum angustifolium_Janet,0.00210084,0.00990099,0.007843137,0.003759398,0.007843137,0.007843137,0.007843137,0.003752345,0.001862197,0.007843137,0.007843137,0.007843137,0.007843137,0.005870841,0.00203252,0.011070111,0.002670227,0.005870841,0,0.00656168,0.00203252,0.009950249,0.007843137,0.007843137,0.007843137,0.007843137,0.003752345,0.007843137,0.001468429,0,1,0,0.997727273,0.063706564,0.001736111,0.005217391,0.008939974,0.008591065,0.00172117,0.006361323,0,0.005405405,0.003350084,0,0.007233273,0.001706485,0.023688663,0.037800687,0.003236246,0.006734007,0,0.065315315,0.032751092,0.001838235,0.001926782,0.005395683,0.00210084,0.018302829
