,Bolboschoenus planiculmis_Colleen,Bolboschoenus planiculmis_Garrett,Carex acutiformis_Carol,Carex arenaria_Sandra,Carex caryophyllea_Carol,Carex depauperata_Carol,Carex distans_Carol,Carex divulsa_Sandra,Carex echinata_Sandra,Carex elata_Carol,Carex extensa_Carol,Carex hirta_Carol,Carex laevigata_Carol,Carex littledalei_Carol,Carex littledalei_Marcus,Carex littledalei_Jerusha,Carex littledalei_Mateo,Carex myosuroides_Carol,Carex myosuroides_5'-GTTTAGG-3',Carex myosuroides_Mateo,Carex myosuroides_Marcus,Carex myosuroides_Kelly,Carex nigra_Carol,Carex pendula_Carol,Carex riparia_Carol,Carex rostrata_Carol,Carex spicata_Sandra,Carex sylvatica_Carol,Cyperus fuscus_Sayid,Eriophorum angustifolium_Sandra,Eriophorum angustifolium_Janet,Eriophorum vaginatum_Sandra,Eriophorum vaginatum_Janet,Eriophorum vaginatum_Glenn,Juncus effusus_Amelia,Juncus effusus_Simms,Juncus effusus_Cheyenne,Juncus inflexus_Amelia,Juncus inflexus_Simms,Juncus inflexus_Cheyenne,Juncus squarrosus_Myrtle,Luzula pallescens_Isaac,Luzula pallescens_Jerry,Luzula pallescens_Tony,Luzula sylvatica_Isaac,Luzula sylvatica_Jerry,Rhynchospora breviuscula_Tyba,Rhynchospora tenuis_Tyba,Schoenus nigricans_Justine,Schoenus nigricans_Sikowicz,Scirpus sylvaticus_Sandra,Scirpus sylvaticus_Glenn,Trichophorum cespitosum_Glenn,Trichophorum cespitosum_Harmonica,Trichophorum cespitosum_Parker,Trichophorum cespitosum_BoDerek,x Bolboschoenoplectus mariqueter_Colleen,x Bolboschoenoplectus mariqueter_Garrett
Luzula pallescens_Isaac,0.006493506,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013452915,0.004683841,0,0,0.013667426,0,0.003496503,0,0,0,0,0,0,0.005586592,0,0.005405405,0,0.005415162,0,0.003937008,0.011857708,0.002141328,0.007604563,0.027667984,0.004282655,0.003831418,1,0,0.089473684,0.175,0,0.007117438,0.010752688,0,0.014705882,0,0,0,0.009049774,0.005076142,0.012820513,0.006493506,0.021126761
Luzula pallescens_Jerry,0.005128205,0.015337423,0.021929825,0.012,0.021929825,0.021929825,0.021929825,0.011952191,0.00390625,0,0.004310345,0.021929825,0.017467249,0.004310345,0,0.00754717,0.028446389,0,0,0.040685225,0,0.01863354,0.021929825,0.021929825,0.021929825,0.021929825,0.011952191,0.021929825,0.005012531,0,0.003350084,0,0.003355705,0.003717472,0.031358885,0.03125,0.02004008,0.023411371,0.016891892,0.013916501,0,0,1,0.004048583,0.00729927,0.577319588,0.003095975,0.009375,0,0.016025641,0,0,0,0.003802281,0.039130435,0,0.005128205,0.018461538
Luzula pallescens_Tony,0.016129032,0.011627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009708738,0,0.011764706,0,0,0,0,0,0,0.009146341,0,0,0,0,0,0.004444444,0.013392857,0.004576659,0.012875536,0.022123894,0.002277904,0,0.089473684,0.004048583,1,0.084210526,0.004255319,0.007936508,0,0.007490637,0.004065041,0,0,0,0,0.005952381,0.014634146,0.016129032,0.007722008
Luzula sylvatica_Isaac,0.013157895,0.006968641,0,0.004761905,0,0,0,0.004739336,0.004672897,0,0,0,0,0,0,0.013513514,0.009433962,0,0,0.018348624,0,0.003508772,0,0,0,0,0.004739336,0,0,0,0.007233273,0,0.007246377,0.008849558,0.007936508,0.028225806,0.006465517,0.007633588,0.027777778,0.006451613,0.011627907,0.175,0.00729927,0.084210526,1,0.007633588,0.007142857,0.003571429,0,0.011029412,0,0,0.006711409,0.004524887,0.01025641,0.021645022,0.013157895,0.014035088
Luzula sylvatica_Jerry,0.005464481,0.015923567,0.023148148,0.012605042,0.023148148,0.023148148,0.023148148,0.012552301,0.004098361,0,0.004545455,0.023148148,0.01843318,0.004545455,0,0.007905138,0.038548753,0,0,0.046357616,0,0.019354839,0.023148148,0.023148148,0.023148148,0.023148148,0.012552301,0.023148148,0,0,0.001706485,0,0.001709402,0.003891051,0.03649635,0.025179856,0.012219959,0.027972028,0.006968641,0.012195122,0.006920415,0,0.577319588,0.004255319,0.007633588,1,0.006451613,0.013029316,0.009259259,0.016666667,0,0,0,0.008,0.046082949,0,0.005464481,0.019169329
Rhynchospora breviuscula_Tyba,0.01,0.015060241,0,0,0,0,0,0,0.011538462,0,0,0,0,0,0.004608295,0.011111111,0.012765957,0,0,0.01026694,0.004608295,0.015197568,0,0,0,0,0,0,0.0175,0,0.023688663,0,0.023728814,0.022222222,0.013422819,0.006644518,0.007827789,0.016286645,0.016556291,0.001941748,0,0.007117438,0.003095975,0.007936508,0.007142857,0.006451613,1,0.138408304,0.00877193,0.00310559,0,0.025906736,0.005076142,0.003717472,0.012396694,0,0.01,0.021212121
Rhynchospora tenuis_Tyba,0.020304569,0.024390244,0,0,0,0,0,0,0.003831418,0,0,0,0,0,0,0.014925373,0.014957265,0,0,0.022916667,0,0.009090909,0,0,0,0,0,0,0.002469136,0,0.037800687,0,0.037865749,0.029962547,0.010067114,0.016835017,0.007843137,0.00974026,0.003278689,0.013779528,0,0.010752688,0.009375,0,0.003571429,0.013029316,0.138408304,1,0.002915452,0,0,0.005102041,0,0,0.016666667,0,0.020304569,0.024390244
Schoenus nigricans_Justine,0.00462963,0.002849003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003484321,0.006147541,0,0,0.003960396,0,0,0,0,0,0,0,0,0.004761905,0,0.003236246,0,0.003241491,0.003448276,0.016025641,0,0.003787879,0.01552795,0,0.005681818,0.00621118,0,0,0.007490637,0,0.009259259,0.00877193,0.002915452,1,0.015015015,0,0,0,0.007067138,0.015625,0.017006803,0.00462963,0.011494253
Schoenus nigricans_Sikowicz,0,0.015384615,0.01754386,0,0.01754386,0.01754386,0.01754386,0,0,0.013100437,0.01754386,0.01754386,0.01754386,0.008695652,0.004761905,0.023076923,0.008602151,0.008695652,0,0.002066116,0.004761905,0.01552795,0.01754386,0.01754386,0.01754386,0.01754386,0,0.01754386,0,0,0.006734007,0,0.006745363,0.003731343,0.003401361,0.01369863,0.009940358,0.003289474,0.013513514,0.009920635,0.006666667,0.014705882,0.016025641,0.004065041,0.011029412,0.016666667,0.00310559,0,0.015015015,1,0,0,0,0,0.008474576,0.018382353,0,0.003039514
Scirpus sylvaticus_Sandra,0,0,0,0.113207547,0,0,0,0.112149533,0.109090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112149533,0,0,1,0,0.516129032,0,0,0,0.00621118,0,0,0.006060606,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Scirpus sylvaticus_Glenn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007142857,0,0,0,0,0,0.015075377,0,0,0,0,0,0,0,0,0.065315315,0,0.065462754,0.11627907,0,0.005882353,0,0,0.005747126,0.002610966,0,0,0,0,0,0,0.025906736,0.005102041,0,0,0,1,0.157894737,0,0,0,0,0
Trichophorum cespitosum_Glenn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.032751092,0,0.032822757,0.051094891,0,0,0,0,0,0,0,0,0,0,0.006711409,0,0.005076142,0,0,0,0,0.157894737,1,0,0,0.006622517,0,0.004901961
Trichophorum cespitosum_Harmonica,0,0.007272727,0.011299435,0,0.011299435,0.011299435,0.011299435,0,0,0.011299435,0.011299435,0.011299435,0.011299435,0,0,0.028985507,0.007263923,0,0,0.011709602,0,0.003663004,0.011299435,0.011299435,0.011299435,0.011299435,0,0.011299435,0,0,0.001838235,0,0.001841621,0,0.004149378,0,0,0.003984064,0,0,0,0.009049774,0.003802281,0,0.004524887,0.008,0.003717472,0,0.007067138,0,0,0,0,1,0.016483516,0,0,0
Trichophorum cespitosum_Parker,0.026315789,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032967033,0.002564103,0,0,0.009925558,0,0.012195122,0,0,0,0,0,0,0,0,0.001926782,0,0.001930502,0,0.023584906,0.033175355,0.014150943,0.022522523,0.027777778,0.01891253,0,0.005076142,0.039130435,0.005952381,0.01025641,0.046082949,0.012396694,0.016666667,0.015625,0.008474576,0,0,0,0.016483516,1,0,0.026315789,0.012048193
Trichophorum cespitosum_BoDerek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016901408,0,0.005395683,0,0.005405405,0,0.007874016,0.007843137,0,0.003773585,0.003846154,0.004273504,0.003816794,0.012820513,0,0.014634146,0.021645022,0,0,0,0.017006803,0.018382353,0,0,0.006622517,0,0,1,0,0
x Bolboschoenoplectus mariqueter_Colleen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006944444,0.005780347,0,0,0,0,0.004878049,0,0,0,0,0,0,0,0,0.00210084,0,0.002105263,0,0.01754386,0.011560694,0.005194805,0.016574586,0.005617978,0.010416667,0,0.006493506,0.005128205,0.016129032,0.013157895,0.005464481,0.01,0.020304569,0.00462963,0,0,0,0,0,0.026315789,0,1,0.004807692
x Bolboschoenoplectus mariqueter_Garrett,0.004807692,0.312977099,0,0.003773585,0,0,0,0.003759398,0.015037594,0,0,0,0,0,0,0,0.012578616,0,0,0.024640657,0,0.002941176,0,0,0,0,0.003759398,0,0,0,0.018302829,0,0.016638935,0.02166065,0.026578073,0.009771987,0.007722008,0.022435897,0.003194888,0.00965251,0.006369427,0.021126761,0.018461538,0.007722008,0.014035088,0.019169329,0.021212121,0.024390244,0.011494253,0.003039514,0,0,0.004901961,0,0.012048193,0,0.004807692,1
